plant.species,sugar,
Achillea millefolium,34.62,Tew 2021
Antirrhinum majus,1079.17,Tew 2021
Bellis perennis,64.75,Tew 2021
Buddleja davidii,10306.86,Tew 2021
Calystegia sepium,1800.78,Tew 2021
Campanula rotundifolia,290.18,Tew 2021
Cirsium vulgare,12024.29,Tew 2021
Crepis capillaris,134.7,Tew 2021
Daucus carota,573.1,Tew 2021
Diplotaxis tenuifolia,14.21,Tew 2021
Echinacea purpurea,2349.55,Tew 2021
Filipendula ulmaria,0,Tew 2021
Foeniculum vulgare,423.24,Tew 2021
Genista tinctoria,33.96,Tew 2021
Geum urbanum,29.8,Tew 2021
Heracleum sphondylium,1440.15,Tew 2021
Hibiscus syriacus,2545.74,Tew 2021
Hydrangea macrophylla,0.71,Tew 2021
Hypericum androsaemum,0,Tew 2021
Hypericum perforatum,0,Tew 2021
Hypochaeris radicata,1171.61,Tew 2021
Lathyrus pratensis,952.69,Tew 2021
Leontodon hispidus,1255.21,Tew 2021
Ligustrum ovalifolium,66.75,Tew 2021
Linaria maroccana,180.13,Tew 2021
Linaria purpurea,180.13,Tew 2021
Lotus pedunculatus,35.36,Tew 2021
Lysimachia vulgaris,0,Tew 2021
Medicago lupulina,29.67,Tew 2021
Papaver rhoeas,3.92,Tew 2021
Plantago lanceolata,0,Tew 2021
Plantago major,0,Tew 2021
Plantago media,0,Tew 2021
Potentilla recta,30.85,Tew 2021
Raphanus sativus,112.32,Tew 2021
Rudbeckia fulgida,451.22,Tew 2021
Scorzoneroides autumnalis,515.76,Tew 2021
Scutellaria galericulata,173.48,Tew 2021
Solanum lycopersicum,27.29,Tew 2021
Solanum nigrum,0,Tew 2021
Sonchus oleraceus,501.17,Tew 2021
Tagetes erecta,1227.42,Tew 2021
Teucrium scorodonia,173.61,Tew 2021