,site,bbspecies,landscape,mean,sd
1,ZHUA,B.lapidarius,U,0.388508685,0.201302499
2,ZHUB,B.lapidarius,U,0.454469529,0.332548205
3,ZHUC,B.lapidarius,U,0.376805417,0.250073571
4,ZHRD,B.lapidarius,R,0.396136795,0.348153544
5,ZHRE,B.lapidarius,R,0.448478177,0.298642467
6,ZHRF,B.lapidarius,R,0.366694449,0.295697526
7,BEUA,B.lapidarius,U,0.574692645,0.043778786
8,BEUB,B.lapidarius,U,0.478041598,0.331044872
9,BEUC,B.lapidarius,U,0.402541323,0.215081199
10,BERD,B.lapidarius,R,0.049323435,0.079810698
11,BSUA,B.lapidarius,U,0.528066147,0.268980463
12,BSUB,B.lapidarius,U,0.352849284,0.278693244
13,BSUC,B.lapidarius,U,0.315512151,0.231158081
14,BSRD,B.lapidarius,R,0.070874785,0.110136604
15,BSRE,B.lapidarius,R,0.222821894,0.239802435
16,BSRF,B.lapidarius,R,0.046811236,0.139553509
17,ZHUA,B.pascuorum,U,0.415561211,0.357245295
18,ZHUB,B.pascuorum,U,0.484934456,0.33563054
19,ZHUC,B.pascuorum,U,0.402411262,0.262233136
20,ZHRD,B.pascuorum,R,0.350370483,0.322609515
21,ZHRE,B.pascuorum,R,0.215194659,0.236331936
22,ZHRF,B.pascuorum,R,0.180850055,0.294015541
23,BEUA,B.pascuorum,U,0.381422192,0.342356401
24,BEUB,B.pascuorum,U,0.603191924,0.295432461
25,BEUC,B.pascuorum,U,0.132140928,0.148170882
26,BERD,B.pascuorum,R,0.10763481,0.226395433
27,BSUA,B.pascuorum,U,0.356776873,0.335158052
28,BSUB,B.pascuorum,U,0.376575062,0.347142363
29,BSUC,B.pascuorum,U,0.287952082,0.272792289
30,BSRD,B.pascuorum,R,0.041789416,0.106179569
31,BSRE,B.pascuorum,R,0.014510911,0.058993193
32,BSRF,B.pascuorum,R,0.180700909,0.203692328